,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
307,F,M,C,Z,D,J,J,P,K,R,R,G,G,H,Q,Q,N,N,B,X,W,V,V,L,S,T,F,F,M,M,C,C,Z,Z,D,J,P,K,K,R,K,R
308,R,X,B,N,V,T,T,Q,Q,D,W,W,P,S,G,M,Z,Z,K,F,F,J,L,C,H,H,R,R,X,X,B,N,V,V,T,Q,Q,D,D,W,D,W
309,F,H,H,M,K,N,L,Q,Q,C,W,W,F,V,S,X,R,G,T,T,B,J,J,P,P,D,Z,Z,H,H,M,K,K,N,N,L,Q,Q,C,W,T,W
310,T,P,S,S,M,M,K,B,L,L,T,F,J,G,X,Z,Z,W,W,C,C,N,N,H,H,D,V,V,R,R,Q,P,P,S,M,K,B,L,T,T,P,F
311,R,Q,Q,C,V,L,L,S,R,B,W,W,N,D,M,M,H,H,T,T,F,F,K,Z,G,J,X,X,P,Q,Q,C,V,V,L,S,S,R,B,W,Q,W
312,V,X,X,M,M,V,V,W,R,R,B,B,K,K,C,L,N,Q,D,Z,Z,J,P,G,F,T,T,S,S,H,X,M,V,V,W,W,R,B,K,K,H,C
313,X,K,K,V,H,T,L,N,N,X,X,G,D,D,S,S,F,F,P,P,B,W,Q,Q,Z,J,R,C,M,M,K,K,V,V,H,T,L,L,N,X,P,G
314,L,B,N,V,V,T,D,D,W,R,R,L,K,K,X,J,J,P,P,C,Z,S,S,F,Q,H,H,G,M,B,N,V,V,T,T,D,D,W,W,R,P,L
315,H,Q,Q,C,W,W,X,X,V,F,F,D,H,J,J,G,S,B,T,T,M,P,P,K,L,R,Z,Z,N,N,Q,Q,C,W,X,V,F,F,D,D,X,H
316,D,W,R,Q,G,G,N,N,T,S,S,V,V,K,D,Z,X,L,B,P,P,F,F,J,M,H,H,C,W,W,R,Q,Q,G,N,N,T,T,S,V,X,V
317,G,S,S,J,J,L,W,N,N,X,T,C,C,F,Q,Z,Z,V,V,M,K,P,P,G,H,H,R,R,D,B,S,J,L,L,W,W,N,X,X,T,K,C
318,R,F,M,H,H,L,L,Z,N,G,G,S,K,K,W,W,P,Q,Q,R,T,J,J,X,B,C,C,V,D,F,F,M,M,H,L,L,Z,N,N,G,J,S
319,S,Q,X,C,C,F,F,W,T,T,D,D,J,B,H,H,S,S,Z,Z,V,N,L,R,R,P,P,M,M,K,G,Q,X,C,F,W,W,T,D,D,W,J
320,R,M,H,V,V,W,W,G,G,J,J,S,T,T,X,L,K,C,C,N,Z,F,F,B,Q,P,R,D,M,M,H,H,V,W,G,G,J,J,S,S,P,T
321,R,C,Z,H,B,R,T,V,V,L,G,G,Q,Q,S,S,J,J,M,F,X,D,W,N,N,P,P,K,K,C,Z,Z,H,B,R,T,T,V,V,L,F,L
322,M,K,V,V,W,W,T,J,L,L,Z,S,H,H,C,C,N,G,B,M,M,D,X,X,F,F,Q,P,R,K,V,W,W,T,J,J,L,Z,Z,S,T,S
323,V,J,J,B,B,Q,Z,Z,W,S,F,P,P,G,L,X,X,M,N,D,D,K,K,H,H,V,T,C,R,J,B,B,Q,Q,Z,W,W,S,F,P,W,P
324,S,R,R,N,N,B,T,Q,Q,M,M,J,J,V,V,D,P,S,G,F,F,K,C,W,Z,Z,L,H,H,X,X,R,N,B,T,Q,Q,M,J,V,B,V
325,R,K,Z,V,V,J,J,P,S,S,T,X,X,G,G,R,R,H,C,C,Q,B,N,N,L,L,M,D,W,W,F,K,K,Z,V,J,P,S,T,T,N,X
326,T,K,K,T,T,B,S,S,H,H,V,G,C,L,J,D,Z,Z,W,W,X,Q,F,F,R,R,M,M,P,P,N,N,K,T,B,S,H,H,V,G,N,C
327,X,C,M,B,B,Q,Q,L,L,G,V,F,X,X,N,N,K,K,T,T,P,H,W,J,S,R,Z,D,C,C,M,B,Q,Q,L,L,G,G,V,F,B,F
328,L,Q,T,M,M,C,C,Z,F,G,G,J,J,S,S,X,H,H,B,D,P,P,W,L,L,N,K,V,R,R,Q,T,M,C,C,Z,F,F,G,G,Q,J
329,C,R,Z,Z,G,G,K,T,W,W,Q,C,B,M,M,S,H,X,J,J,L,P,P,F,F,N,N,V,D,D,R,R,Z,G,K,K,T,T,W,Q,G,C
330,W,B,V,K,K,T,M,C,C,R,H,J,J,L,Z,Z,D,D,S,S,F,W,G,G,X,X,P,P,Q,N,N,B,V,K,T,T,M,C,R,R,T,H
331,G,X,T,T,V,S,S,P,P,R,J,M,M,W,F,F,D,D,B,B,N,Q,H,G,K,L,L,C,Z,X,T,T,V,V,S,S,P,R,R,J,G,M
332,G,L,B,D,M,M,W,X,T,T,N,N,S,Z,Z,J,F,F,Q,R,R,V,P,H,G,G,K,C,L,L,B,D,M,M,W,W,X,X,T,N,X,N
333,C,M,G,G,Z,S,R,P,P,X,W,W,V,N,N,C,C,K,K,F,B,T,T,Q,H,D,J,L,L,M,G,G,Z,Z,S,R,P,P,X,W,X,W
334,S,K,K,Q,D,G,G,F,F,L,S,S,V,V,H,H,M,C,X,X,W,R,R,T,T,J,J,B,Z,Z,P,P,N,K,Q,D,G,F,L,S,C,V
335,Z,T,C,D,S,S,B,P,P,V,K,G,G,L,M,M,Z,J,J,X,Q,Q,W,N,R,R,F,H,H,T,C,D,S,S,B,B,P,P,V,V,N,K
336,F,Q,H,H,P,P,K,L,L,F,F,D,D,J,J,G,W,W,S,S,C,V,V,R,N,X,Z,M,B,T,Q,H,H,P,K,K,L,F,D,J,P,J
337,Z,L,F,S,B,D,N,K,R,J,T,G,G,Z,Z,M,M,W,P,P,X,V,V,Q,Q,H,H,C,L,L,F,S,B,B,D,D,N,N,K,K,S,R
338,S,C,C,F,G,G,T,S,S,R,Z,Z,M,W,Q,Q,P,B,J,J,X,H,N,K,V,V,D,D,L,C,F,F,G,G,T,S,R,R,Z,M,X,M
339,H,D,D,N,X,X,M,M,K,K,H,R,R,T,T,C,S,Q,J,J,V,P,B,L,L,W,W,G,F,Z,D,N,X,X,M,K,K,H,R,R,K,T
340,R,T,T,C,C,K,K,P,N,H,W,M,M,X,X,F,B,G,G,D,J,V,V,L,L,Q,Q,R,Z,S,T,T,C,K,P,P,N,N,H,W,R,M
341,Z,W,P,L,R,B,K,S,S,G,F,F,D,D,Z,Q,Q,H,M,M,V,C,T,T,X,X,J,N,W,W,P,P,L,R,B,B,K,K,S,S,Q,G
342,K,N,N,X,X,W,W,T,T,V,D,P,S,R,R,C,G,G,K,Q,Q,H,J,M,M,F,F,B,B,L,Z,N,X,X,W,T,T,V,D,P,M,S
343,L,X,X,B,B,T,T,J,N,M,R,R,F,F,G,G,C,C,P,P,D,D,K,W,Q,H,H,V,S,Z,L,X,B,T,J,J,N,M,R,F,C,F
344,N,J,J,Q,Q,C,V,F,F,D,T,T,P,W,W,X,X,N,R,G,L,H,B,Z,Z,K,S,S,M,M,J,Q,C,V,V,F,F,D,T,T,Q,P
345,T,N,C,B,B,J,M,Z,P,Q,Q,R,R,T,H,H,K,L,V,V,S,X,X,D,D,W,G,G,F,N,C,B,J,M,M,Z,Z,P,P,Q,T,Q
346,K,M,N,D,Z,X,R,R,P,P,T,J,J,S,W,L,H,Q,K,K,B,V,V,G,C,C,F,F,M,M,N,D,D,Z,Z,X,R,P,P,T,D,T
347,V,K,K,X,F,L,N,N,J,J,W,W,S,C,C,Q,Q,M,M,B,D,D,R,H,V,G,G,T,P,P,Z,K,X,F,L,L,N,N,J,W,D,S
348,J,D,M,C,C,S,V,V,R,H,F,B,X,X,Z,N,N,Q,Q,J,J,T,T,K,K,G,G,L,L,W,W,P,D,M,M,C,S,V,R,H,B,F
349,R,V,J,Z,Z,C,W,X,X,G,Q,Q,K,F,F,B,M,P,P,R,R,N,N,T,D,H,H,S,S,L,V,J,Z,Z,C,W,W,X,G,G,M,Q
350,Q,T,L,L,W,W,R,R,S,N,Q,C,C,V,V,P,P,F,F,M,X,X,B,J,J,K,Z,G,H,H,D,D,T,L,W,R,S,N,Q,C,X,C
351,K,X,P,T,V,V,L,L,H,K,D,G,G,N,N,M,M,S,F,F,J,J,Q,Z,B,B,C,C,W,R,X,P,T,T,V,L,L,H,K,K,B,D
352,S,G,P,P,M,M,B,T,T,W,L,L,C,C,K,R,N,N,V,Z,Z,D,H,X,X,F,F,S,J,Q,Q,G,G,P,M,B,B,T,W,L,W,C
353,N,S,X,X,R,M,M,T,T,D,D,V,C,F,F,B,B,K,W,W,L,L,Z,Q,N,P,G,J,H,S,X,R,R,M,M,T,D,D,V,V,K,C
354,P,D,D,G,S,J,B,B,T,K,Z,Z,V,V,N,L,W,H,H,P,M,M,Q,Q,R,F,X,C,D,D,G,G,S,S,J,B,B,T,K,K,T,Z
355,T,S,S,J,J,K,K,V,C,C,P,L,H,D,N,X,X,T,Q,G,G,M,Z,Z,B,W,F,F,R,R,S,J,K,K,V,V,C,P,L,L,K,H
356,J,K,W,W,Z,R,R,M,M,T,X,B,J,J,L,Q,Q,N,N,C,P,G,G,S,S,F,H,H,D,V,K,W,Z,R,R,M,M,T,X,X,X,B
357,C,R,R,V,M,M,K,N,N,B,P,Z,L,X,X,S,C,F,W,T,G,Q,Q,D,J,H,H,R,R,V,M,K,K,N,N,B,B,P,P,Z,B,Z
358,K,R,F,F,B,B,J,X,X,V,P,G,Z,L,W,K,K,S,S,D,M,M,Q,N,N,T,C,C,H,H,R,F,B,J,X,V,V,P,P,G,M,G
359,R,X,L,L,J,J,H,G,G,W,W,N,N,C,Z,T,V,B,R,F,K,Q,Q,M,M,S,S,P,D,X,X,L,L,J,H,H,G,W,W,N,H,C
360,H,V,P,B,G,G,L,N,R,W,W,Z,Z,D,K,S,S,H,H,M,F,X,T,T,C,Q,J,V,V,P,P,B,B,G,G,L,L,N,N,R,X,W
361,X,W,S,F,F,G,B,B,R,Q,Q,V,Z,Z,M,M,L,H,K,N,N,T,C,D,X,X,J,P,W,S,F,F,G,G,B,B,R,Q,Q,V,B,V
362,N,X,N,N,L,Q,M,M,F,J,K,V,V,Z,Z,S,S,H,G,G,C,C,B,B,T,T,R,P,P,D,W,X,N,L,Q,Q,M,F,J,J,P,K
363,F,G,Z,Z,B,B,L,F,V,N,W,W,Q,Q,X,X,K,P,P,H,J,R,R,D,C,T,T,S,M,G,Z,Z,B,L,L,F,V,V,N,W,T,W
364,P,F,N,L,P,P,B,J,R,R,S,Q,Q,W,K,V,X,Z,D,T,H,H,C,C,M,G,G,F,F,N,L,P,P,B,B,J,J,R,R,S,J,S
365,R,N,N,M,B,B,Q,P,J,J,D,D,H,V,F,C,C,W,W,G,S,Z,R,L,K,X,X,T,T,N,M,M,B,Q,Q,P,J,J,D,H,N,H
366,W,L,L,C,C,J,F,R,H,H,X,X,Q,Q,G,B,N,K,K,V,S,S,T,T,Z,W,M,D,P,P,L,C,J,J,F,R,R,H,X,Q,L,Q
367,N,D,W,W,H,K,F,F,R,R,N,Z,V,B,B,M,M,X,C,C,L,T,T,P,P,Q,Q,J,G,S,D,W,H,K,K,F,R,N,N,Z,H,Z
368,W,V,W,S,S,N,N,B,D,K,K,C,C,X,G,F,Z,Z,T,T,H,H,J,P,P,M,R,Q,L,L,V,W,S,N,N,B,B,D,D,K,D,C
369,V,L,L,P,P,Q,Q,K,K,H,H,D,D,J,S,X,Z,Z,G,G,W,F,C,R,N,T,V,B,B,M,M,L,P,Q,K,K,H,D,J,S,K,S
370,K,F,F,J,G,G,S,K,M,M,V,H,N,D,D,L,L,Z,Z,T,T,P,Q,R,B,B,C,C,X,W,W,F,J,G,G,S,K,K,M,V,N,H
371,N,H,H,G,G,P,V,K,T,T,N,B,L,L,J,J,Z,R,R,M,X,F,F,S,D,W,W,C,Q,Q,H,H,G,P,V,V,K,T,N,N,P,B
372,C,H,M,T,K,C,C,Z,Z,R,R,B,B,V,W,N,P,J,J,S,F,Q,D,D,G,L,L,X,H,H,M,T,T,K,K,C,Z,R,R,B,J,B
373,H,B,J,J,W,P,D,L,R,R,K,S,S,T,T,X,X,Q,Q,F,G,G,N,V,C,M,M,Z,H,B,J,J,W,W,P,D,D,L,R,K,V,K
374,X,K,C,F,H,H,Q,R,D,P,M,J,J,T,T,X,X,B,B,G,G,Z,W,V,V,N,N,L,L,S,K,K,C,F,H,H,Q,R,D,D,K,P
375,F,M,Z,Z,F,D,T,P,P,H,C,L,S,V,Q,Q,W,N,J,J,G,B,B,X,K,K,R,M,M,Z,F,F,D,D,T,P,P,H,H,C,F,C
376,V,T,T,G,G,V,Q,Q,R,C,K,K,N,P,H,M,Z,Z,S,D,D,B,B,F,W,X,X,L,J,T,G,V,V,Q,Q,R,R,C,K,N,P,N
377,K,H,H,F,F,B,D,D,W,W,M,G,G,S,S,X,X,C,L,Q,Q,N,Z,P,K,J,V,R,T,H,F,B,B,D,D,W,M,M,G,G,F,S
378,J,H,Q,F,F,M,M,S,X,X,C,C,K,Z,G,G,V,L,W,W,T,B,R,R,J,D,D,P,N,N,H,Q,Q,F,F,M,S,S,X,C,V,K
379,T,N,R,R,B,K,T,F,J,J,P,M,Q,L,L,D,X,G,Z,Z,C,W,H,H,S,S,V,V,N,N,R,R,B,B,K,T,T,F,J,P,C,P
380,B,C,H,V,V,W,J,J,F,F,T,T,P,M,D,X,G,G,Q,Q,R,Z,Z,B,K,K,S,S,N,L,L,C,H,H,V,W,J,J,F,T,K,P
381,C,H,M,P,P,T,L,C,C,J,J,B,B,N,Z,W,S,Q,Q,F,F,G,D,R,R,V,K,K,X,H,H,M,M,P,T,T,L,C,J,B,D,B
382,P,B,G,R,R,K,J,J,T,T,S,W,X,X,C,P,P,D,D,Z,Z,Q,V,L,N,M,M,F,H,B,B,G,R,K,K,J,T,T,S,S,K,W
383,V,G,T,T,K,W,R,R,X,X,Q,J,J,S,H,H,M,M,N,B,B,Z,V,P,P,L,L,F,F,D,C,G,T,T,K,W,R,R,X,Q,N,J
384,V,Z,J,D,D,N,R,C,C,P,M,H,H,X,B,B,G,G,T,T,L,F,K,K,W,V,S,Q,Z,Z,J,D,D,N,R,R,C,C,P,M,N,M
385,Q,C,X,N,N,H,H,S,V,V,M,L,F,T,T,Z,K,J,P,P,D,Q,Q,B,R,G,G,W,W,C,C,X,X,N,N,H,S,V,M,M,P,L
386,L,P,K,F,F,W,Z,N,L,L,C,C,V,B,B,R,R,M,X,T,J,Q,Q,D,D,S,S,H,G,P,P,K,K,F,W,W,Z,Z,N,L,W,C
387,P,W,N,Z,Z,R,R,H,H,G,G,F,F,L,P,Q,J,J,T,K,S,S,D,C,C,V,X,X,M,B,W,N,Z,R,R,H,G,F,F,L,M,L
388,X,T,T,S,D,D,W,N,G,G,L,J,J,P,Z,Z,B,M,M,V,R,F,F,H,H,X,K,C,C,Q,T,T,S,D,W,N,G,G,L,L,W,J
389,K,S,P,P,D,C,C,L,Q,Q,Z,Z,T,J,R,M,K,K,B,W,W,V,V,H,X,F,N,N,G,G,S,S,P,D,C,C,L,Q,Z,Z,C,T
390,M,C,M,F,V,V,G,G,R,R,K,P,J,N,W,B,B,L,L,Z,Z,T,T,Q,Q,D,D,X,H,H,S,S,C,M,F,V,G,R,K,K,V,P
391,S,G,W,W,X,H,H,Q,R,R,B,B,M,P,N,S,T,T,F,D,D,Z,K,K,J,J,V,C,L,G,W,X,X,H,Q,Q,R,R,B,B,X,M
392,F,K,K,M,R,L,L,X,F,F,Q,Q,W,C,C,D,J,G,Z,Z,S,B,V,N,N,P,T,H,H,K,M,R,R,L,X,X,F,F,Q,Q,D,W
393,W,R,Z,P,N,J,G,C,C,T,M,S,Q,Q,K,K,H,F,L,L,X,X,V,V,D,D,W,W,B,B,R,Z,P,N,N,J,G,G,C,T,K,T
394,B,D,W,L,G,N,N,H,H,V,V,K,P,M,Q,Q,C,F,F,R,B,S,S,Z,Z,J,T,X,X,D,W,L,L,G,G,N,H,H,V,K,N,K
395,R,F,F,V,L,S,R,R,K,P,P,M,X,T,W,Z,Z,Q,Q,G,H,H,J,C,C,N,B,B,D,D,F,V,L,L,S,R,R,K,P,M,K,M
396,L,Q,Q,G,P,Z,F,W,S,S,R,V,V,T,B,B,C,C,H,H,X,N,D,D,L,J,K,K,M,M,Q,G,P,Z,Z,F,F,W,S,S,T,R
397,P,Z,Z,D,D,J,M,G,G,W,X,X,B,B,H,C,L,L,F,F,V,Q,R,P,S,S,N,T,T,K,Z,D,D,J,J,M,M,G,W,X,J,B
398,P,T,T,K,V,V,W,N,N,J,B,F,C,C,D,D,M,H,X,G,R,Z,Z,P,S,Q,Q,L,L,T,K,K,V,V,W,N,J,J,B,B,N,F
399,B,N,N,F,P,W,T,Z,R,V,V,G,H,H,X,X,B,B,M,M,C,C,S,S,Q,D,L,K,K,J,N,F,P,P,W,T,Z,R,R,V,T,V
400,J,G,G,L,L,K,S,W,W,R,V,V,B,F,F,X,C,H,H,Q,Q,J,D,D,N,M,M,P,Z,Z,T,G,L,L,K,S,W,W,R,V,G,B
401,H,B,W,W,X,M,M,Q,Z,N,V,D,D,L,H,H,R,R,G,C,J,F,P,P,S,S,T,T,K,K,B,B,W,X,X,M,Q,Z,N,V,X,V
402,H,W,W,X,Z,Z,N,N,M,M,L,R,R,S,S,T,D,D,V,V,P,P,C,G,K,F,B,B,J,J,Q,H,W,X,Z,N,M,L,L,R,P,S
403,M,X,L,P,P,Q,C,C,Z,Z,J,J,S,W,T,F,F,K,G,B,D,V,H,M,M,N,N,R,X,L,L,P,P,Q,Q,C,C,Z,J,J,Q,S
404,C,L,T,S,X,G,W,W,N,N,Z,Z,H,H,M,J,B,B,V,D,D,K,P,P,C,F,R,R,Q,Q,L,L,T,S,X,X,G,W,N,Z,H,Z
405,B,X,R,D,Q,C,C,L,P,P,J,J,G,B,H,H,Z,K,K,N,N,V,V,F,F,W,W,M,T,T,S,S,X,R,R,D,Q,C,L,P,P,J
406,X,B,B,R,W,W,N,Z,Q,Q,J,J,L,P,S,S,D,D,H,K,X,G,M,V,C,T,T,F,F,B,B,R,R,W,W,N,N,Z,Q,J,P,L
407,C,G,G,M,M,B,K,K,S,S,Z,Z,J,H,C,L,L,N,P,D,T,T,V,F,F,X,W,W,Q,R,G,G,M,B,K,S,Z,Z,J,J,V,H
408,H,P,P,H,C,C,G,G,X,X,F,F,M,M,V,J,B,K,N,T,S,S,Z,R,Q,D,D,W,L,L,P,H,H,C,G,X,X,F,F,M,N,V
409,W,Q,C,Z,P,D,V,V,L,L,X,X,T,T,K,K,H,H,S,S,B,R,M,M,G,N,N,J,W,F,F,Q,C,Z,Z,P,D,V,L,L,M,X
410,Q,B,Q,K,K,X,X,L,P,M,M,T,T,R,R,N,F,C,C,D,H,V,V,S,S,G,W,Z,Z,J,B,B,Q,K,X,X,L,P,M,T,S,T
411,M,N,R,R,T,T,K,K,C,P,P,J,J,V,S,S,F,B,M,X,Q,W,Z,Z,L,H,D,D,G,N,N,R,T,T,K,K,C,P,P,J,L,V
412,K,T,H,F,F,S,N,L,P,J,J,R,Q,Q,C,C,M,X,X,V,Z,Z,G,G,B,W,W,K,K,D,T,H,F,F,S,N,N,L,P,P,F,J
413,F,X,F,F,S,M,B,K,K,W,W,D,V,H,N,C,C,G,J,J,Z,Z,T,R,Q,L,L,P,P,X,X,F,F,S,M,B,K,K,W,D,B,D
414,J,G,G,D,D,K,K,V,L,X,J,Q,W,W,Z,C,C,R,F,P,B,B,M,M,N,N,S,T,T,H,G,D,K,K,V,V,L,X,J,J,P,Q
415,C,F,N,N,K,C,Q,Q,T,H,Z,Z,D,M,S,X,R,L,L,W,W,G,J,J,P,P,V,V,B,F,F,N,N,K,K,C,Q,T,T,H,R,Z
416,B,S,J,J,G,C,W,W,T,H,X,X,M,M,K,L,N,N,Q,Q,V,V,P,P,D,B,B,F,Z,R,S,J,J,G,G,C,C,W,T,H,P,X
417,M,S,S,H,H,F,F,K,V,V,L,Z,C,C,X,W,W,N,R,M,M,P,B,T,T,D,Q,J,G,S,H,H,F,K,K,V,L,Z,Z,C,X,C
418,B,N,P,F,F,Q,R,T,T,D,W,Z,Z,V,V,B,G,J,M,M,C,H,L,L,S,K,X,X,N,N,P,F,F,Q,R,R,T,D,D,W,Q,W
419,R,K,K,Z,F,R,M,M,N,N,S,D,T,L,L,B,B,W,X,X,C,C,V,P,H,H,G,J,J,Q,K,Z,Z,F,R,R,M,N,S,S,Q,D
420,J,H,B,B,J,L,L,R,W,W,S,S,K,K,Q,X,X,Z,N,D,D,G,G,F,V,V,T,M,C,P,P,H,H,B,J,L,R,R,W,S,V,K
421,B,D,N,F,F,W,X,M,G,K,K,C,H,H,P,P,L,T,T,R,R,S,S,B,J,Q,Z,V,V,D,D,N,N,F,W,W,X,M,G,K,S,K
422,M,T,T,J,J,P,P,B,K,D,Z,Z,H,G,C,C,V,V,W,F,F,M,M,L,Q,S,S,N,N,R,X,X,T,J,P,B,K,D,D,Z,F,H
423,Q,V,X,X,K,T,C,J,J,R,H,H,M,D,D,S,S,B,G,G,N,Q,W,W,L,L,Z,P,P,F,V,X,K,K,T,C,J,J,R,H,S,H
424,S,Q,F,T,X,X,P,R,Z,N,N,D,D,B,C,W,W,K,K,H,H,L,L,G,G,V,M,S,S,J,Q,F,T,X,P,P,R,R,Z,N,W,N
425,M,V,C,X,X,L,L,B,S,S,H,N,J,R,F,W,W,T,T,P,D,D,K,M,Z,Z,Q,Q,G,G,V,V,C,X,X,L,B,S,S,H,F,N
426,W,F,F,W,W,C,C,R,R,L,L,D,M,M,X,H,H,S,T,G,G,P,K,N,N,B,J,J,Q,Q,Z,V,F,W,C,R,L,L,D,M,C,X
427,W,Z,C,F,D,D,X,J,M,M,Q,Q,K,K,H,H,G,G,B,W,R,R,L,P,P,V,S,S,T,T,N,Z,Z,C,F,D,X,J,M,M,J,Q
428,W,Q,D,D,S,N,N,M,M,X,C,B,B,L,G,G,K,V,V,W,P,P,H,J,J,F,F,R,Z,T,Q,Q,D,D,S,N,M,X,C,B,H,B
429,T,R,L,G,D,D,S,S,B,Q,Z,Z,M,F,H,P,P,X,N,N,T,T,K,W,W,C,C,V,J,R,L,G,G,D,D,S,B,B,Q,Q,S,Z
430,W,M,M,S,H,H,X,X,P,N,N,L,B,T,T,Q,Q,Z,Z,W,F,K,G,G,R,D,V,J,J,C,C,M,S,H,H,X,P,P,N,L,H,B
431,N,P,P,G,G,K,M,M,Z,H,H,S,B,T,T,D,D,W,R,R,J,Q,Q,X,X,C,C,L,F,V,N,P,G,K,K,M,Z,Z,H,S,N,B
432,Z,K,W,N,R,R,G,J,J,M,V,D,C,Z,F,S,S,L,T,T,P,H,H,B,X,X,Q,Q,K,K,W,N,N,R,R,G,G,J,J,M,Q,V
433,D,B,B,S,D,M,J,W,W,Q,Z,C,C,P,K,F,F,L,R,R,H,G,V,V,T,X,X,N,B,B,S,S,D,M,M,J,W,Q,Q,Z,P,Z
434,H,G,B,Z,Z,N,R,C,K,K,D,D,Q,P,P,J,W,W,S,M,F,X,L,L,V,V,T,T,H,G,B,Z,N,N,R,R,C,C,K,K,N,D
435,G,C,K,S,M,M,J,J,W,G,G,B,B,N,N,Z,Z,Q,V,V,X,P,P,F,D,L,R,R,T,H,H,C,K,K,S,M,J,W,G,G,W,B
436,S,W,R,R,J,J,Z,Z,F,P,P,B,G,G,S,S,X,H,H,T,M,L,K,D,C,C,N,Q,Q,V,W,W,R,R,J,Z,F,P,B,G,X,G
437,B,C,S,P,N,N,L,H,H,M,T,Z,X,X,K,W,V,V,Q,J,J,F,B,B,G,G,R,R,D,C,C,S,P,P,N,L,L,H,M,M,P,T
438,T,B,B,P,X,K,M,M,Z,V,V,S,Q,Q,H,L,L,D,T,T,F,W,W,R,G,J,J,N,N,C,C,B,P,P,X,X,K,M,Z,V,X,S
439,T,Q,H,H,J,M,R,F,L,L,C,C,D,S,P,P,Z,Z,X,W,W,G,G,K,V,T,N,B,B,Q,H,J,J,M,R,F,F,L,L,C,G,C
440,Q,H,N,T,T,P,P,L,L,Z,C,C,G,K,K,M,S,S,W,D,D,Q,J,F,B,B,R,R,V,X,H,N,T,T,P,L,L,Z,C,G,K,G
441,C,B,K,K,F,Z,R,R,M,M,Q,Q,C,C,S,V,T,T,G,W,X,P,D,L,N,N,H,H,J,J,B,K,F,Z,R,R,M,M,Q,C,Z,C
442,N,K,K,F,F,S,C,J,X,G,P,B,W,M,M,R,V,D,D,N,H,H,Q,Q,L,Z,Z,T,T,K,F,S,S,C,C,J,X,X,G,P,W,P
443,B,D,G,G,W,R,J,L,Z,M,M,Q,N,N,F,B,B,K,C,H,H,S,S,X,T,V,V,P,D,G,G,W,W,R,R,J,L,L,Z,Z,C,M
444,F,T,T,D,K,X,G,G,J,B,F,F,L,L,M,M,P,H,H,C,C,N,N,R,R,V,Z,S,Q,W,W,T,T,D,K,K,X,G,J,B,Z,F
445,B,N,K,S,S,V,V,W,J,J,L,G,P,H,C,C,M,M,R,R,T,T,Z,Z,Q,B,D,F,X,X,N,K,S,V,V,W,W,J,L,G,Q,G
446,M,R,R,J,J,G,G,Z,N,N,L,L,Q,Q,X,X,F,K,C,B,D,T,M,H,H,S,S,P,V,W,R,R,J,G,Z,N,L,L,Q,Q,S,X
447,F,P,X,X,C,Z,Z,R,H,S,S,M,M,B,Q,Q,T,T,L,L,G,G,D,F,F,N,W,V,K,J,P,X,C,C,Z,Z,R,R,H,S,X,M
448,F,P,D,D,R,Q,Q,S,Z,Z,M,C,L,V,V,T,G,B,H,H,F,K,X,X,W,W,J,J,N,P,P,D,D,R,R,Q,S,Z,M,C,K,C
449,S,Q,T,T,V,F,M,H,H,L,S,X,X,K,R,C,G,G,B,D,W,J,J,P,P,N,N,Z,Q,T,T,V,V,F,M,M,H,H,L,S,Q,S
450,B,S,S,C,L,B,B,G,V,P,R,N,Q,F,F,T,M,M,J,J,D,D,W,H,H,K,K,Z,X,X,S,C,C,L,B,G,V,V,P,P,Q,R
451,S,W,W,T,J,C,C,V,D,D,X,X,F,F,B,B,R,H,M,N,N,K,Q,Q,P,P,G,S,Z,L,L,W,W,T,J,J,C,V,D,X,K,F
452,L,D,C,C,R,R,Z,Z,B,B,W,H,T,L,Q,Q,N,K,K,F,F,P,P,V,S,S,J,J,M,G,X,X,D,C,R,Z,B,B,W,H,Q,T
453,D,M,H,X,D,D,S,F,F,Q,N,R,W,W,K,T,V,Z,Z,G,G,B,B,C,C,P,P,J,J,L,L,M,M,H,X,D,S,S,F,Q,V,N
454,S,Q,V,V,M,X,F,D,D,R,P,N,K,K,S,S,H,H,G,J,B,C,C,L,L,W,Z,T,Q,Q,V,M,M,X,X,F,D,R,R,P,B,P
455,G,R,Z,Z,N,X,B,B,J,T,T,L,L,G,K,K,P,P,S,Q,C,H,H,W,W,V,D,D,F,M,R,Z,Z,N,N,X,B,J,T,T,C,L
456,Q,L,K,M,M,N,N,D,F,C,S,W,W,Q,Q,G,T,T,R,X,X,H,Z,Z,P,J,B,B,V,V,L,K,K,M,M,N,D,F,F,C,L,S
457,C,B,B,H,H,M,M,X,S,T,G,Q,Q,F,L,L,W,W,P,C,K,Z,N,V,D,D,J,J,R,B,B,H,M,X,S,S,T,T,G,G,S,Q
458,B,Q,Q,F,W,W,B,C,M,G,R,R,V,V,H,H,J,D,K,K,Z,Z,N,N,T,T,L,S,X,P,Q,F,F,W,B,B,C,M,M,G,D,R
459,T,F,V,K,S,J,P,P,B,Z,G,G,H,X,X,L,L,N,N,Q,Q,R,R,C,C,T,M,D,W,W,F,V,K,S,J,J,P,P,B,Z,L,Z
460,F,L,C,N,N,G,G,X,X,P,P,Z,M,V,S,S,W,W,K,F,F,Q,D,D,B,H,H,J,R,T,T,L,L,C,N,G,X,P,Z,M,G,M
